street_address,city,state,latitude,longitude
760 W Johnson St,Fond du Lac,WI,43.7826881,-88.4753418
40 Cedar Grove Pl,Old Bridge Township,NJ,40.4052734,-74.3010178
Old Agency Baptist Church,Muskogee,OK,35.766201,-95.3946991
9500 Evergreen Rd,Detroit,MI,42.3648081,-83.2359631
280 N Main St,Mansfield,OH,40.766098,-82.5142975
Augustine Herman Hwy & E Lewis Shore Rd,Elkton,MD,39.5735002,-75.8158102
951 West 36th St N,Tulsa,OK,36.2059747,-96.0020301
800 NW 75th St,Miami,FL,25.8430748,-80.2112122
9200 Riverwood Dr,Jennings,MO,38.7234116,-90.2447968
6902 Ottawa Rd,Cleveland,OH,41.4501534,-81.6409378
Morton Ave and Chatham Ave,St Louis,MO,38.6732101,-90.2913402
2964 W 2125 S,Syracuse,UT,41.0832634,-112.0831375
10400 Enloe St,South El Monte,CA,34.0536053,-118.0453592
I-10,Sierra Blanca,TX,31.172832,-105.357927
1702 S 50th St,Omaha,NE,41.2427368,-95.9904175
600 E Island Lake Dr,Shelton,WA,47.2465324,-123.1194992
111 Otero Dr,Ruidoso,NM,33.3575249,-105.6732559
40200 Clark Dr,Hemet,CA,33.7417183,-116.9542389
1505 E Main St,Trinidad,CO,37.1747471,-104.4915234
224 Circle Dr,Arcola,IL,39.691962,-88.3028705
1125 Williamson St,Madison,WI,43.0824051,-89.3650055
Lamar St and Whitworth St,Sulphur Springs,TX,33.1287286,-95.5938203
McEwien Swamp Rd,Ruth,MS,31.3249302,-90.3153381
Oklahoma Hwy 48 and E1750 Rd,Wapanucka,OK,34.476518,-96.4245157
E 100 N,Rigby,ID,43.6411095,-111.7173996
468 E Plainfield Ave,Milwaukee,WI,42.9687729,-87.9034882
27th St and Fletcher Ave,Lincoln,NE,40.8747297,-96.6818701
Co Rd 2718,Mabank,TX,32.4071388,-96.0738907
6505 Shirley Ave,Austin,TX,32.4071388,-96.0738907
271 Greece Ridge Center Dr,Rochester,NY,32.4071388,-96.0738907
West Little York Rd,Houston,TX,29.865415,-95.524052
10200 S Vermont Ave,Los Angeles,CA,33.9436035,-118.2912674
N Little Tor Rd,New City,NY,41.1689186,-74.0044327
19 Colin Drive S,Portsmouth,VA,36.8185692,-76.3703384
1945 Remount Rd,North Charleston,SC,32.8991127,-80.0138016
4800 Hildring Dr E,Forth Worth,TX,32.6786003,-97.3807373
US-287,Electra,TX,34.044584,-98.931198
700 Valley St,Hoover,AL,33.4149311,-86.8515567
335 New Brooklyn Rd,Berlin,NJ,39.7491188,-74.929306
1098 Frederick Blvd,Portsmouth,VA,36.8290138,-76.3414383
Bureau of Indian Affairs Rd 66,Tonasket,WA,48.7085419,-119.4368286
130 Wedowee Ln,Gaston,NC,35.205776,-81.240669
3800 Hollis St,Oakland,CA,37.8271294,-122.2844925
Lake Arrowhead Ave and Great Salt Lake Dr,Fremont,CA,37.5864713,-122.0600103
